,ENPH,FSLR,ICLN,NEE,SEDG,SPY,XLE
2019-01-02,4.920000076293945,42.560001373291016,7.604124069213867,35.500205993652344,36.150001525878906,224.38250732421875,21.123748779296875
2019-01-03,4.760000228881836,43.439998626708984,7.540146827697754,35.412410736083984,35.5,219.02816772460938,20.91424560546875
2019-01-04,5.079999923706055,46.31999969482422,7.768637180328369,36.06460189819336,37.25,226.36465454101562,21.625837326049805
2019-01-07,5.260000228881836,45.790000915527344,7.832612991333008,36.01234817504883,35.0099983215332,228.14952087402344,21.947317123413086
2019-01-08,5.349999904632568,46.22999954223633,7.924006462097168,36.27573776245117,35.0,230.29298400878906,22.117084503173828
2019-01-09,5.630000114440918,46.959999084472656,7.987985134124756,36.11894226074219,35.459999084472656,231.36929321289062,22.467456817626953
2019-01-10,5.630000114440918,47.7400016784668,8.07938003540039,36.66243362426758,35.9900016784668,232.18548583984375,22.532480239868164
2019-01-11,5.679999828338623,47.5,8.125080108642578,36.72933578491211,36.400001525878906,232.275146484375,22.398832321166992
2019-01-14,5.820000171661377,46.72999954223633,8.088519096374512,35.7928466796875,36.5,230.85801696777344,22.344650268554688
2019-01-15,6.150000095367432,46.86000061035156,8.042823791503906,36.52238082885742,36.689998626708984,233.50387573242188,22.424118041992188
2019-01-16,6.679999828338623,47.29999923706055,8.070241928100586,36.51401901245117,37.349998474121094,234.06887817382812,22.395219802856445
2019-01-17,6.820000171661377,48.380001068115234,8.189056396484375,36.6833381652832,37.56999969482422,235.84474182128906,22.60111427307129
2019-01-18,6.53000020980835,47.939998626708984,8.179915428161621,36.80875015258789,37.18000030517578,238.9838104248047,23.059852600097656
2019-01-22,6.590000152587891,46.209999084472656,8.07938003540039,37.078407287597656,36.959999084472656,235.7550048828125,22.557767868041992
2019-01-23,6.510000228881836,46.540000915527344,8.179915428161621,37.49648666381836,38.029998779296875,236.248291015625,22.326589584350586
2019-01-24,6.659999847412109,48.599998474121094,8.362709045410156,37.684593200683594,40.2400016784668,236.37384033203125,22.44579315185547
2019-01-25,6.71999979019165,49.86000061035156,8.417545318603516,36.41367721557617,40.849998474121094,238.37384033203125,22.73114776611328
2019-01-28,6.900000095367432,50.70000076293945,8.371845245361328,36.05205154418945,42.150001525878906,236.562255859375,22.503585815429688
2019-01-29,7.099999904632568,50.08000183105469,8.46324348449707,36.13357925415039,42.0,236.248291015625,22.57221794128418
